Survey Year,Block ID,Indoor Seating,Outdoor Seating
2014,9,1227,257
2014,10,346,144
2014,11,235,165
2014,12,1636,439
2014,13,246,NULL
2014,14,225,NULL
2014,15,142,NULL
2014,16,238,302
2014,17,1113,238
2014,18,1545,158
2014,19,1577,75
2014,20,351,69
2014,21,646,138
2014,22,1473,435
2014,23,1575,632
2014,24,245,230
2014,25,NULL,NULL
2014,26,140,75
2014,27,141,66
2014,28,604,111
2014,29,1064,104
2014,30,828,278
2014,31,668,72
2014,32,323,88
2014,33,103,16
2014,34,100,NULL
2014,35,NULL,NULL
2014,36,15,NULL
2014,37,345,210
2014,38,362,32
2014,39,86,5
2014,40,333,112
2014,41,476,285
2014,42,386,146
2014,43,320,98
2014,44,512,122
2014,45,318,56
2014,46,25,10
2014,47,NULL,NULL
2014,48,40,39
2014,49,100,NULL
2014,50,462,26
2014,51,322,NULL
2014,52,445,236
2014,53,100,40
2014,54,563,119
2014,55,90,16
2014,56,3,NULL
2014,57,416,NULL
2014,58,70,20
2014,59,80,60
2014,60,24,20
2014,61,12,NULL
2014,62,180,NULL
2014,63,1762,511
2014,64,725,367
2014,65,82,12
2014,66,56,12
2014,67,95,10
2014,68,NULL,NULL
2014,69,332,84
2014,70,180,12
2014,71,NULL,NULL
2014,72,180,36
2014,73,NULL,NULL
2014,74,631,28
2014,75,1322,300
2014,76,1920,425
2014,77,240,98
2014,78,176,100
2014,79,217,60
2014,80,20,NULL
2014,81,490,146
2014,82,NULL,NULL
2014,83,73,70
2014,84,56,76
2014,85,150,NULL
2014,86,NULL,NULL
2014,87,NULL,NULL
2014,88,35,NULL
2014,89,NULL,NULL
2014,90,100,58
2014,91,232,87
2014,92,90,24
2014,93,355,72
2014,94,NULL,NULL
2014,95,NULL,NULL
2014,96,246,108
2014,97,346,273
2014,98,NULL,NULL
2014,99,169,32
2014,100,16,8
2014,101,NULL,NULL
2014,102,28,24
2014,103,30,50
2014,104,NULL,NULL
2014,105,48,35
2014,106,45,16
2014,107,95,40
2014,108,94,32
2014,109,38,28
2014,110,NULL,NULL
2014,111,46,70
2014,112,157,98
2014,113,NULL,NULL
2014,114,NULL,NULL
2014,115,260,NULL
2014,116,NULL,NULL
2014,117,116,32
2014,118,NULL,NULL
2014,119,NULL,NULL
2014,120,NULL,NULL
2014,121,403,128
2014,122,180,74
2014,123,NULL,NULL
2014,124,150,36
2014,125,483,114
2014,126,NULL,NULL
2014,127,NULL,NULL
2014,128,92,72
2014,129,100,32
2014,130,NULL,NULL
2014,131,NULL,NULL
2014,132,NULL,NULL
2014,133,NULL,NULL
2014,134,NULL,NULL
2014,135,202,52
2014,136,NULL,NULL
2014,137,NULL,NULL
2014,138,45,15
2014,139,NULL,NULL
2014,140,NULL,NULL
2014,141,465,202
2014,142,360,70
2014,143,NULL,NULL
2014,144,NULL,NULL
2014,145,NULL,NULL
2014,146,NULL,NULL
2014,147,NULL,NULL
2014,148,222,175
2014,149,336,80
2014,150,NULL,NULL
2014,151,NULL,NULL
2014,152,NULL,NULL
2014,153,NULL,NULL
2014,154,365,28
2014,155,1365,187
2014,156,NULL,NULL
2014,157,36,14
2014,158,NULL,NULL
2014,159,NULL,NULL
2014,160,47,22
2014,161,NULL,NULL
2014,162,60,NULL
2014,163,NULL,NULL
2014,164,440,136
2014,165,798,160
2014,166,NULL,NULL
2014,167,NULL,NULL
2014,168,NULL,NULL
2014,169,NULL,NULL
2014,170,NULL,NULL
2014,171,95,NULL
2014,172,100,100
2014,173,NULL,NULL
2014,174,NULL,NULL
2014,175,17,30
2014,176,NULL,NULL
2014,177,78,72
2014,178,30,9
2014,179,206,28
2014,180,NULL,NULL
2014,181,NULL,NULL
2014,182,NULL,NULL
2014,183,NULL,NULL
2014,184,185,NULL
2014,185,NULL,NULL
2014,186,96,83
2014,187,370,128
